Team,Airline,Departure_Time,Arrival_Time,Price
NE,DeltaOperated by Republic Airways Delta Connection,12:00 PM,03:25 PM,676
BUF,AmericanOperated by Republic Airways as American Eagle,08:54 AM,11:49 AM,887
BUF,AmericanOperated by Envoy Air as American Eagle,06:45 PM,09:44 PM,887
BUF,UnitedOperated by Gojet Airlines DBA United Express,02:02 PM,04:43 PM,1006
BUF,United,09:46 PM,11:15 PM +1,744
BUF,AmericanOperated by Republic Airways as American Eagle,08:55 PM,11:35 AM +1,839
BUF,Southwest,11:25 AM,06:25 PM,846
BUF,"DeltaOperated by SkyWest DBA Delta Connection, SkyWest DBA Delta Connection",07:00 AM,11:15 AM,906
BUF,AmericanOperated by Piedmont Airlines as American Eagle,09:55 AM,03:12 PM,906
BUF,AmericanOperated by PSA Airlines as American Eagle,04:05 PM,09:39 PM,906
BUF,United,06:20 PM,09:01 PM,1006
BUF,UnitedOperated by Gojet Airlines DBA United Express,10:35 AM,01:20 PM,1144
MIA,Spirit,09:35 PM,08:50 AM +1,634
MIA,Spirit,05:07 PM,09:25 PM,669
MIA,American,05:00 AM,09:15 AM,1370
MIA,United,07:25 AM,11:46 AM,1370
MIA,Frontier,07:25 AM,11:59 PM,677
MIA,Spirit,05:10 AM,12:47 PM,794
MIA,United,06:00 AM,10:18 AM,1370
MIA,American,06:37 AM,10:55 AM,1370
MIA,United,10:40 AM,03:01 PM,1370
MIA,American,01:59 PM,06:22 PM,1370
MIA,United,02:13 PM,06:33 PM,1370
MIA,American,02:55 PM,07:16 PM,1370
MIA,American,03:59 PM,08:21 PM,1370
MIA,American,05:39 PM,09:55 PM,1370
MIA,United,06:35 PM,10:59 PM,1370
MIA,American,06:55 PM,11:37 PM,1370
MIA,American,08:20 AM,12:46 PM,1610
MIA,American,10:05 AM,02:29 PM,1850
NYJ,JetBlue,10:11 AM,01:29 PM,544
NYJ,American,04:43 PM,07:57 PM,544
NYJ,DeltaOperated by SkyWest DBA Delta Connection,08:15 AM,11:41 AM,654
NYJ,"AmericanOperated by Republic Airways as American Eagle, Republic Airways as American Eagle",08:15 AM,02:10 PM,533
NYJ,"AmericanOperated by Republic Airways as American Eagle, Republic Airways as American Eagle",08:50 AM,04:59 PM,533
NYJ,American,01:54 PM,08:00 PM,533
NYJ,American,04:10 PM,09:50 PM,533
NYJ,"AmericanOperated by Piedmont Airlines as American Eagle, Republic Airways as American Eagle",08:10 AM,12:55 PM,672
NYJ,DeltaOperated by Republic Airways Delta Connection,06:20 PM,10:01 PM,690
NYJ,DeltaOperated by Republic Airways Delta Connection,01:25 PM,04:49 PM,774
NYJ,AmericanOperated by Republic Airways as American Eagle,11:45 AM,02:59 PM,874
BAL,Southwest,02:45 PM,05:40 PM,868
BAL,AmericanOperated by Republic Airways as American Eagle,08:15 AM,11:22 AM,885
BAL,United,10:35 AM,01:36 PM,1012
BAL,Frontier,04:45 PM,07:37 AM +1,460
BAL,AmericanOperated by Envoy Air as American Eagle,08:30 PM,11:47 PM,885
BAL,Delta,09:55 AM,04:52 PM,904
BAL,Delta,03:20 PM,08:41 PM,904
BAL,United,08:10 PM,11:09 PM,1012
CIN,UnitedOperated by Republic Airways DBA United Express,07:10 AM,09:40 AM,703
CIN,AmericanOperated by Air Wisconsin as American Eagle,08:00 AM,10:28 AM,703
CIN,UnitedOperated by Gojet Airlines DBA United Express,10:40 AM,01:06 PM,703
CIN,AmericanOperated by Air Wisconsin as American Eagle,04:30 PM,06:47 PM,703
CIN,UnitedOperated by Gojet Airlines DBA United Express,03:00 PM,05:28 PM,703
CIN,UnitedOperated by Republic Airways DBA United Express,06:05 PM,08:42 PM,703
CIN,United,09:21 PM,11:46 PM,703
CIN,Southwest,02:45 PM,12:25 AM +1,880
CIN,Delta,07:05 AM,12:27 PM,1072
CLE,UnitedOperated by SkyWest DBA United Express,07:25 AM,09:53 AM,738
CLE,AmericanOperated by Piedmont Airlines as American Eagle,08:10 AM,10:42 AM,738
CLE,UnitedOperated by SkyWest DBA United Express,10:45 AM,01:18 PM,738
CLE,United,02:32 PM,04:54 PM,738
CLE,AmericanOperated by Piedmont Airlines as American Eagle,03:00 PM,05:29 PM,738
CLE,Frontier,07:25 AM,05:48 PM,567
CLE,Frontier,10:49 AM,07:40 AM +1,665
CLE,United,06:05 PM,08:27 PM,738
CLE,American,08:34 PM,11:10 PM,738
CLE,United,09:15 PM,11:39 PM,738
CLE,DeltaOperated by SkyWest DBA Delta Connection,05:30 PM,10:35 PM,836
PIT,UnitedOperated by Republic Airways DBA United Express,07:30 AM,10:13 AM,718
PIT,AmericanOperated by Republic Airways as American Eagle,08:50 AM,11:25 AM,718
PIT,UnitedOperated by Republic Airways DBA United Express,10:35 AM,01:15 PM,718
PIT,UnitedOperated by Republic Airways DBA United Express,02:13 PM,04:52 PM,718
PIT,AmericanOperated by Republic Airways as American Eagle,03:01 PM,05:31 PM,718
PIT,Spirit,01:24 PM,07:33 PM,520
PIT,United,06:30 PM,09:10 PM,718
PIT,AmericanOperated by Republic Airways as American Eagle,06:45 PM,09:42 PM,718
PIT,UnitedOperated by Republic Airways DBA United Express,09:05 PM,11:41 PM,718
PIT,DeltaOperated by Republic Airways Delta Connection,05:30 PM,10:38 PM,816
PIT,UnitedOperated by Republic Airways DBA United Express,08:50 AM,01:49 PM,1253
HOU,Spirit,05:10 AM,08:01 AM,410
HOU,Frontier,06:10 AM,09:00 AM,417
HOU,Spirit,08:55 PM,11:51 PM,471
HOU,Spirit,11:12 AM,06:45 PM,541
HOU,Spirit,07:00 AM,05:11 PM,551
HOU,Frontier,07:25 AM,06:04 PM,554
