Team,Name,Price,Rating,Room_Type
BAL,Hampton Inn & Suites Baltimore/Woodlawn,273,8.2,4
BAL,Hyatt Place Baltimore Inner Harbor,388,7.8,5
BAL,SpringHill Suites by Marriott Baltimore Downtown/Inner Harbor,329,8.0,3
BAL,Courtyard Baltimore Downtown/McHenry Row,394,8.5,4
BAL,Days Inn by Wyndham Baltimore Inner Harbor,250,6.5,2
BAL,Fairfield Inn & Suites White Marsh,219,8.1,2
BAL,Comfort Inn & Suites Baltimore Inner Harbor,217,5.4,2
BAL,Residence Inn Baltimore White Marsh,288,8.1,2
LAR,StaysPro - Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING,375,8.7,3
LAR,Hilton Garden Inn Los Angeles / Hollywood,377,7.7,4
LAR,Fenix Hotel Hollywood,237,8.0,2
LAR,"Hampton Inn & Suites Los Angeles/Hollywood, CA",451,8.4,4
LAR,Bayside Hotel,387,8.0,2
LAR,Hotel Aventura,236,8.5,4
LAR,Hollywood Rooftop Boutique Residences on Melrose,411,101,3
LAR,"Holiday Inn Los Angeles - LAX Airport, an IHG Hotel",234,7.5,4
LAR,Hyatt House LAX Century Blvd,326,8.3,5
LAR,Hampton Inn & Suites Santa Monica,474,7.7,4
LAR,Tuscan Garden Inn,212,7.5,4
LAR,Comfort Inn & Suites Near Universal - N Hollywood - Burbank,343,8.2,4
LAR,The Adler a Hollywood Hotel,288,8.2,4
LAR,Four Points by Sheraton Los Angeles International Airport,211,6.0,4
LAR,Ocean Park Inn,258,8.0,2
LAR,Best Western Plus Commerce Hotel,270,8.5,4
LAR,Hyatt Place LAX/Century BLVD,304,8.1,4
LAR,Hilton Los Angeles-Universal City,538,8.3,4
LAR,Hilton Garden Inn Los Angeles Marina Del Rey,445,7.6,4
LAR,New Seoul Hotel,268,8.3,2
LAR,Best Western Hollywood Plaza Inn Hotel - Hollywood Walk of Fame LA,278,7.4,2
LAR,The Kinney - Venice Beach,412,8.3,4
LAR,Days Inn by Wyndham Santa Monica,328,7.9,2
LAR,Hollywood Inn Suites Hotel,183,7.9,4
LAR,The Live Hotel,280,7.6,4
LAR,Hyatt Regency Los Angeles International Airport,298,8.1,4
